Номенклатура АлгаДистрибьюшн факт;Наименование от производителя
1ЭЭ01059 «3D», тон 5.71 Какао со льдом / Iced Cocoa;Стойкая крем краска для волос  «Éclair» «3D», тон 5.71                                               Какао со льдом / Iced Cocoa 
1ЭЭ01060 «3D», тон 5.56 Темный гранат / Dark red;Стойкая крем краска для волос  «Éclair» «3D», тон 5.56                                              Темный гранат / Dark red
1ЭЭ01061 «3D», тон 7.73 Капучино / Light brown;Стойкая крем краска для волос  «Éclair» «3D», тон 7.73                                             Капучино / Light brown
1ЭЭ01062 «3D», тон 8.74 Карамель / Caramel;Стойкая крем краска для волос  «Éclair» «3D», тон 8.74                                                Карамель / Caramel
1ЭЭ01063 «3D», тон 4.65 Дикая слива / Dark cherry;Стойкая крем краска для волос  «Éclair» «3D», тон 4.65                                                    Дикая слива / Dark cherry
1ЭЭ01064 «3D», тон 4.77 Темный орех / Nut brown;Стойкая крем краска для волос  «Éclair» «3D», тон 4.77                                                  Темный орех / Nut brown
1ЭЭ01065 «3D», тон 1.0 Королевский черный / Black;Стойкая крем краска для волос  «Éclair» «3D», тон 1.0                                                Королевский черный / Black
1ЭЭ01066 «3D», тон 3.0 Темный каштан / Dark brown;Стойкая крем краска для волос  «Éclair» «3D», тон 3.0                                               Темный каштан / Dark brown 
1ЭЭ01067 «3D», тон 2.0 Драгоценный Черный агат / Ultra onux black;Стойкая крем краска для волос  «Éclair» «3D», тон 2.0                                          Драгоценный Черный агат / Ultra onux black
1ЭЭ01068 «3D», тон 5.75 Благородный опал / Icy chestnut;Стойкая крем краска для волос  «Éclair» «3D», тон 5.75                                              Благородный опал / Icy chestnut
1ЭЭ01069 «3D», тон 10.10 Серебристый блонд / Silver ultra blond;Стойкая крем краска для волос  «Éclair» «3D», тон 10.10                                               Серебристый блонд / Silver ultra blond
1ЭЭ01070 «3D», тон 10.31 Шампань / Naturlar light blonde;Стойкая крем краска для волос  «Éclair» «3D», тон 10.31                                                Шампань / Naturlar light blonde
"1ЭЭ01071 Крем краска для бровей ""ELETT"" тон 4.0 Коричневый Brown";"Крем краска для бровей ""ELETT"" тон 4.0 Коричневый / Brown"
"1ЭЭ01072 Крем краска для бровей ""ELETT"" тон 1.0 Черный Black";"Крем краска для бровей ""ELETT"" тон 1.0 Черный /Black"
"1ЭЭ01073 Оттеночный бальзам для волос ""ELETT"" clair , тон 9.1 Пепельный блонд";
"1ЭЭ01074 Оттеночный бальзам для волос ""ELETT"" clair , тон 4.65 Бордо burgundy";
"1ЭЭ01075 Оттеночный бальзам для волос ""ELETT"" clair , тон 9.16 Перламутр Nacr";
"1ЭЭ01076 Оттеночный бальзам для волос ""ELETT"" clair , тон 4.56 Спелая вишня R";
"1ЭЭ01077 Оттеночный бальзам для волос ""ELETT"" clair , тон 9.6 Жемчуг Pearl";
"1ЭЭ01078 Осветлитель для волос ""Super Blond"", в саше пакетиках Hair bleaching """;"Осветлитель для волос ""Super Blond"", в саше пакетиках /                                                Hair bleaching ""Super Blond"", sachet package "
